M,N,Network,Layer,Recovery_Cycles,Sysarr_cycles,Recovery_sysarr_number,IBUF Read,WBUF Read,OBUF Write,best_tiling
1,1,CIFAR10SNN,conv0/Convolution,42740496,42740496,33138,36874656,341923968,1060416,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,2,CIFAR10SNN,conv0/Convolution,22117958,22117958,17414,36874656,176804352,1114496,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,4,CIFAR10SNN,conv0/Convolution,11761059,11761059,9553,36874656,93859200,1222784,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,8,CIFAR10SNN,conv0/Convolution,6474866,6474866,5582,36874656,51486336,1428992,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,16,CIFAR10SNN,conv0/Convolution,3986511,3986511,3889,36874656,31425408,1991168,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,32,CIFAR10SNN,conv0/Convolution,4048735,4048735,3889,36874656,31425408,3982336,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,64,CIFAR10SNN,conv0/Convolution,4173183,4173183,3889,36874656,31425408,7964672,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,128,CIFAR10SNN,conv0/Convolution,4422079,4422079,3889,36874656,31425408,15929344,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,256,CIFAR10SNN,conv0/Convolution,4919871,4919871,3889,36874656,31425408,31858688,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,512,CIFAR10SNN,conv0/Convolution,5915455,5915455,3889,36874656,31425408,63717376,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,1,CIFAR10SNN,conv0/Convolution,62642235,62642235,43851,56464704,1001574144,2806464,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,2,CIFAR10SNN,conv0/Convolution,32054734,32054734,22631,56464704,512151552,2896768,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,4,CIFAR10SNN,conv0/Convolution,16768432,16768432,12040,56464704,267524352,3082240,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,8,CIFAR10SNN,conv0/Convolution,8995152,8995152,6648,56464704,143071488,3403776,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,16,CIFAR10SNN,conv0/Convolution,5042736,5042736,3978,56464704,79665408,4073472,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,32,CIFAR10SNN,conv0/Convolution,5106384,5106384,3978,56464704,79665408,8146944,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,64,CIFAR10SNN,conv0/Convolution,5233680,5233680,3978,56464704,79665408,16293888,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,128,CIFAR10SNN,conv0/Convolution,5488272,5488272,3978,56464704,79665408,32587776,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,256,CIFAR10SNN,conv0/Convolution,5997456,5997456,3978,56464704,79665408,65175552,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
2,512,CIFAR10SNN,conv0/Convolution,7015824,7015824,3978,56464704,79665408,130351104,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,1,CIFAR10SNN,conv0/Convolution,86546736,86546736,53664,74810448,2764343808,6868992,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,2,CIFAR10SNN,conv0/Convolution,44195004,44195004,27495,74810448,1410720768,7038720,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,4,CIFAR10SNN,conv0/Convolution,22849164,22849164,14322,74810448,728423424,7332864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,8,CIFAR10SNN,conv0/Convolution,11944486,11944486,7615,74810448,379786752,7797760,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,16,CIFAR10SNN,conv0/Convolution,6196842,6196842,4077,74810448,195950592,8349696,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,32,CIFAR10SNN,conv0/Convolution,6262074,6262074,4077,74810448,195950592,16699392,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,64,CIFAR10SNN,conv0/Convolution,6392538,6392538,4077,74810448,195950592,33398784,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,128,CIFAR10SNN,conv0/Convolution,6653466,6653466,4077,74810448,195950592,66797568,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,256,CIFAR10SNN,conv0/Convolution,7175322,7175322,4077,74810448,195950592,133595136,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
4,512,CIFAR10SNN,conv0/Convolution,8219034,8219034,4077,74810448,195950592,267190272,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,1,CIFAR10SNN,conv0/Convolution,122580714,122580714,65478,115479936,7815831552,16762368,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,2,CIFAR10SNN,conv0/Convolution,61373864,61373864,32767,115479936,3911150592,16776704,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,4,CIFAR10SNN,conv0/Convolution,30720640,30720640,16384,115479936,1955635200,16777216,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,8,CIFAR10SNN,conv0/Convolution,15393088,15393088,8192,115479936,977817600,16777216,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,16,CIFAR10SNN,conv0/Convolution,7729312,7729312,4096,115479936,488908800,16777216,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,32,CIFAR10SNN,conv0/Convolution,7794848,7794848,4096,115479936,488908800,33554432,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,64,CIFAR10SNN,conv0/Convolution,7925920,7925920,4096,115479936,488908800,67108864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,128,CIFAR10SNN,conv0/Convolution,8188064,8188064,4096,115479936,488908800,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,256,CIFAR10SNN,conv0/Convolution,8712352,8712352,4096,115479936,488908800,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
8,512,CIFAR10SNN,conv0/Convolution,9760928,9760928,4096,115479936,488908800,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,1,CIFAR10SNN,conv0/Convolution,123664128,123664128,65536,121857408,15703179264,33554432,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,2,CIFAR10SNN,conv0/Convolution,61864832,61864832,32768,121857408,7851589632,33554432,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,4,CIFAR10SNN,conv0/Convolution,30965184,30965184,16384,121857408,3925794816,33554432,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,8,CIFAR10SNN,conv0/Convolution,15515360,15515360,8192,121857408,1962897408,33554432,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,16,CIFAR10SNN,conv0/Convolution,7790448,7790448,4096,121857408,981448704,33554432,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,32,CIFAR10SNN,conv0/Convolution,7855984,7855984,4096,121857408,981448704,67108864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,64,CIFAR10SNN,conv0/Convolution,7987056,7987056,4096,121857408,981448704,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,128,CIFAR10SNN,conv0/Convolution,8249200,8249200,4096,121857408,981448704,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,256,CIFAR10SNN,conv0/Convolution,8773488,8773488,4096,121857408,981448704,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
16,512,CIFAR10SNN,conv0/Convolution,9822064,9822064,4096,121857408,981448704,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,1,CIFAR10SNN,conv0/Convolution,124715008,124715008,65536,122661648,31406948352,67108864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,2,CIFAR10SNN,conv0/Convolution,62390272,62390272,32768,122661648,15703474176,67108864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,4,CIFAR10SNN,conv0/Convolution,31227904,31227904,16384,122661648,7851737088,67108864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,8,CIFAR10SNN,conv0/Convolution,15646720,15646720,8192,122661648,3925868544,67108864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,16,CIFAR10SNN,conv0/Convolution,7856128,7856128,4096,122661648,1962934272,67108864,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,32,CIFAR10SNN,conv0/Convolution,7921664,7921664,4096,122661648,1962934272,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,64,CIFAR10SNN,conv0/Convolution,8052736,8052736,4096,122661648,1962934272,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,128,CIFAR10SNN,conv0/Convolution,8314880,8314880,4096,122661648,1962934272,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,256,CIFAR10SNN,conv0/Convolution,8839168,8839168,4096,122661648,1962934272,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
32,512,CIFAR10SNN,conv0/Convolution,9887744,9887744,4096,122661648,1962934272,2147483648,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,1,CIFAR10SNN,conv0/Convolution,126812160,126812160,65536,122661648,62813896704,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,2,CIFAR10SNN,conv0/Convolution,63438848,63438848,32768,122661648,31406948352,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,4,CIFAR10SNN,conv0/Convolution,31752192,31752192,16384,122661648,15703474176,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,8,CIFAR10SNN,conv0/Convolution,15908864,15908864,8192,122661648,7851737088,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,16,CIFAR10SNN,conv0/Convolution,7987200,7987200,4096,122661648,3925868544,134217728,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,32,CIFAR10SNN,conv0/Convolution,8052736,8052736,4096,122661648,3925868544,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,64,CIFAR10SNN,conv0/Convolution,8183808,8183808,4096,122661648,3925868544,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,128,CIFAR10SNN,conv0/Convolution,8445952,8445952,4096,122661648,3925868544,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,256,CIFAR10SNN,conv0/Convolution,8970240,8970240,4096,122661648,3925868544,2147483648,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
64,512,CIFAR10SNN,conv0/Convolution,10018816,10018816,4096,122661648,3925868544,4294967296,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,1,CIFAR10SNN,conv0/Convolution,131006464,131006464,65536,122661648,1.25628E+11,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,2,CIFAR10SNN,conv0/Convolution,65536000,65536000,32768,122661648,62813896704,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,4,CIFAR10SNN,conv0/Convolution,32800768,32800768,16384,122661648,31406948352,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,8,CIFAR10SNN,conv0/Convolution,16433152,16433152,8192,122661648,15703474176,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,16,CIFAR10SNN,conv0/Convolution,8249344,8249344,4096,122661648,7851737088,268435456,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,32,CIFAR10SNN,conv0/Convolution,8314880,8314880,4096,122661648,7851737088,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,64,CIFAR10SNN,conv0/Convolution,8445952,8445952,4096,122661648,7851737088,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,128,CIFAR10SNN,conv0/Convolution,8708096,8708096,4096,122661648,7851737088,2147483648,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,256,CIFAR10SNN,conv0/Convolution,9232384,9232384,4096,122661648,7851737088,4294967296,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
128,512,CIFAR10SNN,conv0/Convolution,10280960,10280960,4096,122661648,7851737088,8589934592,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,1,CIFAR10SNN,conv0/Convolution,139395072,139395072,65536,122661648,2.51256E+11,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,2,CIFAR10SNN,conv0/Convolution,69730304,69730304,32768,122661648,1.25628E+11,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,4,CIFAR10SNN,conv0/Convolution,34897920,34897920,16384,122661648,62813896704,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,8,CIFAR10SNN,conv0/Convolution,17481728,17481728,8192,122661648,31406948352,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,16,CIFAR10SNN,conv0/Convolution,8773632,8773632,4096,122661648,15703474176,536870912,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,32,CIFAR10SNN,conv0/Convolution,8839168,8839168,4096,122661648,15703474176,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,64,CIFAR10SNN,conv0/Convolution,8970240,8970240,4096,122661648,15703474176,2147483648,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,128,CIFAR10SNN,conv0/Convolution,9232384,9232384,4096,122661648,15703474176,4294967296,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,256,CIFAR10SNN,conv0/Convolution,9756672,9756672,4096,122661648,15703474176,8589934592,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
256,512,CIFAR10SNN,conv0/Convolution,10805248,10805248,4096,122661648,15703474176,17179869184,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,1,CIFAR10SNN,conv0/Convolution,156172288,156172288,65536,122661648,5.02511E+11,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,2,CIFAR10SNN,conv0/Convolution,78118912,78118912,32768,122661648,2.51256E+11,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,4,CIFAR10SNN,conv0/Convolution,39092224,39092224,16384,122661648,1.25628E+11,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,8,CIFAR10SNN,conv0/Convolution,19578880,19578880,8192,122661648,62813896704,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,16,CIFAR10SNN,conv0/Convolution,9822208,9822208,4096,122661648,31406948352,1073741824,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,32,CIFAR10SNN,conv0/Convolution,9887744,9887744,4096,122661648,31406948352,2147483648,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,64,CIFAR10SNN,conv0/Convolution,10018816,10018816,4096,122661648,31406948352,4294967296,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,128,CIFAR10SNN,conv0/Convolution,10280960,10280960,4096,122661648,31406948352,8589934592,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,256,CIFAR10SNN,conv0/Convolution,10805248,10805248,4096,122661648,31406948352,17179869184,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
512,512,CIFAR10SNN,conv0/Convolution,11853824,11853824,4096,122661648,31406948352,34359738368,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}"
1,1,CIFAR10SNN,conv1/Convolution,1292525568,1292525568,11666,991807488,10340204544,373312,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,2,CIFAR10SNN,conv1/Convolution,669705138,669705138,6066,991807488,5357592576,388224,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,4,CIFAR10SNN,conv1/Convolution,356134422,356134422,3250,991807488,2848997376,416000,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,8,CIFAR10SNN,conv1/Convolution,194783586,194783586,1806,991807488,1558167552,462336,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,16,CIFAR10SNN,conv1/Convolution,104662995,104662995,1021,991807488,837181440,522752,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,32,CIFAR10SNN,conv1/Convolution,104679331,104679331,1021,991807488,837181440,1045504,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,64,CIFAR10SNN,conv1/Convolution,104712003,104712003,1021,991807488,837181440,2091008,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,128,CIFAR10SNN,conv1/Convolution,104777347,104777347,1021,991807488,837181440,4182016,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,256,CIFAR10SNN,conv1/Convolution,104908035,104908035,1021,991807488,837181440,8364032,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
1,512,CIFAR10SNN,conv1/Convolution,105169411,105169411,1021,991807488,837181440,16728064,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
2,1,CIFAR10SNN,conv1/Convolution,1409056029,1409056029,12573,1098722304,22544695296,804672,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
2,2,CIFAR10SNN,conv1/Convolution,727597796,727597796,6514,1098722304,11641356288,833792,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
2,4,CIFAR10SNN,conv1/Convolution,382293460,382293460,3445,1098722304,6116474880,881920,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
2,8,CIFAR10SNN,conv1/Convolution,202582512,202582512,1854,1098722304,3241082880,949248,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
2,16,CIFAR10SNN,conv1/Convolution,106829776,106829776,1021,1098722304,1709015040,1045504,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
2,32,CIFAR10SNN,conv1/Convolution,106846112,106846112,1021,1098722304,1709015040,2091008,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
2,64,CIFAR10SNN,conv1/Convolution,106878784,106878784,1021,1098722304,1709015040,4182016,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (2, 64), 'OC/oc': (4, 32)}"
